"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","697","Создание пользователя без обязательного поля: проверка тела ответа","tests","2026-08-23","passed","2026-08-23","TestCreateUser","Создание пользователя","",""
"","567","Изменение данных авторизованным пользователем: проверка статус-кода 200","tests","2026-08-23","passed","2026-08-23","TestUpdateUser","Изменение данных пользователя","",""
"","651","Изменение данных авторизованным пользователем: проверка статус-кода 200","tests","2026-08-23","passed","2026-08-23","TestUpdateUser","Изменение данных пользователя","",""
"","554","Неавторизованный пользователь: проверка полей тела ответа","tests","2026-08-23","passed","2026-08-23","TestGetOrders","Получение заказов пользователя","",""
"","908","Авторизованный пользователь: проверка генерации номера заказа","tests","2026-08-23","passed","2026-08-23","TestCreateOrder","Создание заказа","",""
"","638","Изменение данных авторизованным пользователем: проверка статус-кода 200","tests","2026-08-23","passed","2026-08-23","TestUpdateUser","Изменение данных пользователя","",""
"","624","Авторизованный пользователь: проверка статус-кода 200","tests","2026-08-23","passed","2026-08-23","TestGetOrders","Получение заказов пользователя","",""
"","650","Изменение данных авторизованным пользователем: проверка обновленного значения","tests","2026-08-23","passed","2026-08-23","TestUpdateUser","Изменение данных пользователя","",""
"","580","Попытка изменения данных неавторизованным пользователем: проверка поля success","tests","2026-08-23","passed","2026-08-23","TestUpdateUser","Изменение данных пользователя","",""
"","748","Логин под существующим пользователем: проверка токена в ответе","tests","2026-08-23","passed","2026-08-23","TestLoginUser","Логин пользователя","",""
"","1250","Создание дубликата: проверка сообщения об ошибке","tests","2026-08-23","passed","2026-08-23","TestCreateUser","Создание пользователя","",""
"","569","Попытка изменения данных неавторизованным пользователем: проверка поля success","tests","2026-08-23","passed","2026-08-23","TestUpdateUser","Изменение данных пользователя","",""
"","541","Создание пользователя без обязательного поля: проверка статус-кода 403","tests","2026-08-23","passed","2026-08-23","TestCreateUser","Создание пользователя","",""
"","541","Изменение данных авторизованным пользователем: проверка поля success","tests","2026-08-23","passed","2026-08-23","TestUpdateUser","Изменение данных пользователя","",""
"","694","Попытка изменения данных неавторизованным пользователем: проверка сообщения об ошибке","tests","2026-08-23","passed","2026-08-23","TestUpdateUser","Изменение данных пользователя","",""
"","499","Неавторизованный пользователь: проверка генерации номера заказа","tests","2026-08-23","passed","2026-08-23","TestCreateOrder","Создание заказа","",""
"","550","Создание пользователя без обязательного поля: проверка тела ответа","tests","2026-08-23","passed","2026-08-23","TestCreateUser","Создание пользователя","",""
"","492","Создание заказа с неверным хешем: проверка статус-кода 500","tests","2026-08-23","passed","2026-08-23","TestCreateOrder","Создание заказа","",""
"","566","Создание пользователя без обязательного поля: проверка статус-кода 403","tests","2026-08-23","passed","2026-08-23","TestCreateUser","Создание пользователя","",""
"","615","Попытка изменения данных неавторизованным пользователем: проверка поля success","tests","2026-08-23","passed","2026-08-23","TestUpdateUser","Изменение данных пользователя","",""
"","772","Логин с неверным логином и паролем: проверка сообщения об ошибке","tests","2026-08-23","passed","2026-08-23","TestLoginUser","Логин пользователя","",""
"","876","Авторизованный пользователь: проверка наличия имени бургера","tests","2026-08-23","passed","2026-08-23","TestCreateOrder","Создание заказа","",""
"","575","Создание пользователя без обязательного поля: проверка тела ответа","tests","2026-08-23","passed","2026-08-23","TestCreateUser","Создание пользователя","",""
"","517","Создание заказа без ингредиентов: проверка тела ответа","tests","2026-08-23","passed","2026-08-23","TestCreateOrder","Создание заказа","",""
"","900","Авторизованный пользователь: проверка статус-кода 200","tests","2026-08-23","passed","2026-08-23","TestCreateOrder","Создание заказа","",""
"","500","Создание заказа без ингредиентов: проверка статус-кода 400","tests","2026-08-23","passed","2026-08-23","TestCreateOrder","Создание заказа","",""
"","733","Попытка изменения данных неавторизованным пользователем: проверка сообщения об ошибке","tests","2026-08-23","passed","2026-08-23","TestUpdateUser","Изменение данных пользователя","",""
"","576","Неавторизованный пользователь: проверка статус-кода 401","tests","2026-08-23","passed","2026-08-23","TestGetOrders","Получение заказов пользователя","",""
"","887","Авторизованный пользователь: проверка поля success в ответе","tests","2026-08-23","passed","2026-08-23","TestCreateOrder","Создание заказа","",""
"","557","Изменение данных авторизованным пользователем: проверка обновленного значения","tests","2026-08-23","passed","2026-08-23","TestUpdateUser","Изменение данных пользователя","",""
"","702","Авторизованный пользователь: проверка, что orders является списком","tests","2026-08-23","passed","2026-08-23","TestGetOrders","Получение заказов пользователя","",""
"","594","Создание пользователя без обязательного поля: проверка тела ответа","tests","2026-08-23","passed","2026-08-23","TestCreateUser","Создание пользователя","",""
"","689","Создание пользователя без обязательного поля: проверка тела ответа","tests","2026-08-23","passed","2026-08-23","TestCreateUser","Создание пользователя","",""
"","486","Создание заказа без ингредиентов: проверка тела ответа","tests","2026-08-23","passed","2026-08-23","TestCreateOrder","Создание заказа","",""
"","586","Авторизованный пользователь: проверка наличия ключа orders в теле","tests","2026-08-23","passed","2026-08-23","TestGetOrders","Получение заказов пользователя","",""
"","554","Создание пользователя без обязательного поля: проверка статус-кода 403","tests","2026-08-23","passed","2026-08-23","TestCreateUser","Создание пользователя","",""
"","478","Неавторизованный пользователь: проверка статус-кода","tests","2026-08-23","passed","2026-08-23","TestCreateOrder","Создание заказа","",""
"","554","Изменение данных авторизованным пользователем: проверка поля success","tests","2026-08-23","passed","2026-08-23","TestUpdateUser","Изменение данных пользователя","",""
"","552","Создание пользователя без обязательного поля: проверка тела ответа","tests","2026-08-23","passed","2026-08-23","TestCreateUser","Создание пользователя","",""
"","687","Логин с неверным логином и паролем: проверка сообщения об ошибке","tests","2026-08-23","passed","2026-08-23","TestLoginUser","Логин пользователя","",""
"","748","Логин под существующим пользователем: проверка статус-кода","tests","2026-08-23","passed","2026-08-23","TestLoginUser","Логин пользователя","",""
"","626","Попытка изменения данных неавторизованным пользователем: проверка сообщения об ошибке","tests","2026-08-23","passed","2026-08-23","TestUpdateUser","Изменение данных пользователя","",""
"","628","Изменение данных авторизованным пользователем: проверка поля success","tests","2026-08-23","passed","2026-08-23","TestUpdateUser","Изменение данных пользователя","",""
"","594","Создание уникального пользователя: проверка наличия токена","tests","2026-08-23","passed","2026-08-23","TestCreateUser","Создание пользователя","",""
"","1201","Создание дубликата: проверка статус-кода 403","tests","2026-08-23","passed","2026-08-23","TestCreateUser","Создание пользователя","",""
"","1360","Создание дубликата: проверка сообщения об ошибке","tests","2026-08-23","passed","2026-08-23","TestCreateUser","Создание пользователя","",""
"","572","Создание уникального пользователя: проверка статус-кода","tests","2026-08-23","passed","2026-08-23","TestCreateUser","Создание пользователя","",""
"","516","Неавторизованный пользователь: проверка поля success в ответе","tests","2026-08-23","passed","2026-08-23","TestCreateOrder","Создание заказа","",""
"","780","Неавторизованный пользователь: проверка полей тела ответа","tests","2026-08-23","passed","2026-08-23","TestGetOrders","Получение заказов пользователя","",""
"","689","Логин с неверным паролем: проверка статус-кода","tests","2026-08-23","passed","2026-08-23","TestLoginUser","Логин пользователя","",""
"","620","Авторизованный пользователь: проверка поля success в ответе","tests","2026-08-23","passed","2026-08-23","TestGetOrders","Получение заказов пользователя","",""
"","622","Логин под существующим пользователем: проверка поля success","tests","2026-08-23","passed","2026-08-23","TestLoginUser","Логин пользователя","",""
